timestamp,China,Cruiseship,Japan
2020-01-11,41,0,0
2020-01-12,41,0,0
2020-01-13,41,0,0
2020-01-14,41,0,0
2020-01-15,41,0,0
2020-01-16,41,0,0
2020-01-17,45,0,0
2020-01-18,62,0,0
2020-01-19,121,0,0
2020-01-20,198,0,0
2020-01-21,291,0,1
2020-01-22,440,0,1
2020-01-23,571,0,1
2020-01-24,830,0,1
2020-01-25,1287,0,3
2020-01-26,1975,0,3
2020-01-27,2744,0,4
2020-01-28,4515,0,6
2020-01-29,5974,0,7
2020-01-30,7711,0,11
2020-01-31,9692,0,14
2020-02-01,11791,0,17
2020-02-02,14380,0,20
2020-02-03,17205,0,20
2020-02-04,20438,0,20
2020-02-05,24324,10,23
2020-02-06,28018,20,25
2020-02-07,31147,61,25
2020-02-08,34542,64,25
2020-02-09,37109,64,26
2020-02-10,40160,70,26
2020-02-11,42638,135,26
2020-02-12,44653,174,29
2020-02-13,58761,218,33
2020-02-14,63851,218,41
2020-02-15,66491,285,53
2020-02-16,68500,355,59
2020-02-17,70548,355,59
2020-02-18,72436,542,74
2020-02-19,74185,542,74
2020-02-20,74567,621,85
